id,label,PC1,PC2
iB_01199,1,-8.1848755,0.46932286
iB_05939,1,-7.03743,-0.4613055
iB_08638,1,-6.207477,-5.3517776
iB_05910,1,-7.5223465,1.2158775
iB_01075,1,-7.1105423,1.217754
iB_04113,1,-7.1821404,0.6691751
iB_16736,1,-4.36517,2.8809001
iB_07947,1,-7.477529,-2.2260556
iB_10858,1,-7.3318534,2.2226002
iB_03080,1,-8.280868,0.67068815
iB_07944,1,-6.3276896,0.23652193
iB_10840,1,-6.347185,3.3611693
iB_07210,1,-8.23965,1.7675705
iB_04842,1,-7.2011695,-2.2523031
iB_00714,1,-8.191131,-0.3587266
iB_12406,1,-5.6565175,-0.27365768
iB_05858,1,-7.8778543,0.05945569
iB_04302,1,-8.117952,-0.42019433
iB_07718,1,-5.649581,-3.37542
iB_10646,1,-4.6560063,-1.098249
iB_07489,1,-6.9313555,0.9124629
iB_05871,1,-6.6375546,-1.0155551
iB_16527,1,-4.9620605,2.2147884
